"effect","factor_level1","factor_level2","factor_level3","factor_level3_score"
"Defeat in a sports match","Spirit","Fighting Spirit","Pride",1
"Defeat in a sports match","Spirit","Fighting Spirit","Devotion",15
"Defeat in a sports match","Spirit","Fighting Spirit","Encouragement",1
"Defeat in a sports match","Spirit","Composure","Calmness",12
"Defeat in a sports match","Spirit","Composure","Confidence",21
"Defeat in a sports match","Spirit","Carefulness","Patience",35
"Defeat in a sports match","Spirit","Carefulness","Concentration",1
"Defeat in a sports match","Technique","Exercise","Schedule",20
"Defeat in a sports match","Technique","Exercise","Quality",15
"Defeat in a sports match","Technique","Exercise","Quantity",1
"Defeat in a sports match","Technique","Form","Advice",1
"Defeat in a sports match","Technique","Form","Repetition",20
"Defeat in a sports match","Technique","Form","Model",1
"Defeat in a sports match","Technique","Teamwork","Cooperation",1
"Defeat in a sports match","Technique","Teamwork","Function",1
"Defeat in a sports match","Technique","Motion","Speed",1
"Defeat in a sports match","Technique","Motion","Power",20
"Defeat in a sports match","Health","Meal","Nutrition",1
"Defeat in a sports match","Health","Meal","Calories",1
"Defeat in a sports match","Health","Meal","Quantity",1
"Defeat in a sports match","Health","Sleep","Depth",1
"Defeat in a sports match","Health","Sleep","Time",1
"Defeat in a sports match","Health","Rest","Relaxation",1
"Defeat in a sports match","Health","Rest","Amusement",1
"Defeat in a sports match","Strategy","Study of oponent","Information",8
"Defeat in a sports match","Strategy","Study of oponent","Analysis",5
"Defeat in a sports match","Strategy","Judgment of situation","Observation",1
"Defeat in a sports match","Strategy","Judgment of situation","Experience in matches",1
"Defeat in a sports match","Strategy","Planning","Theory",2
"Defeat in a sports match","Strategy","Planning","Rules",5
"Defeat in a sports match","Strategy","Planning","Common sense",4
